"","Bediensteten","Cinestar","City Port","Kronberger Hof","Leitrechner","Loehrstrasse","Rathaus","Rheinufergarage","Roemisches Theater","Schillerplatz","Taubertsberg","TG Augustusplatz","Uniklinikum","Wallstrasse","Zollhafen","Gesamtergebnis"
"08:15","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"08:30","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"08:45","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"09:00","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"09:15","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"09:30","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"09:45","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"10:00","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"10:15","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"10:30","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"10:45","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"11:00","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"11:15","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"11:30","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"11:45","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"12:00","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"12:15","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"12:30","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"12:45","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
"13:00","491","440","873","476","1.889","145","515","497","433","420","767","579","3.705","303","","11.533"
